actor_id;first;last;gender
10001;Ian;McKellen;M
10002;Ian;Holm;M
10003;Liv;Tyler;W
10004;Tim;Robbins;M
10005;Morgan;Freeman;M
10006;Cate;Blanchett;W
10007;Bob;Gunton;M
10008;Marlon;Brando;M
10009;Al;Pacino;M
10010;James;Caan;M
10011;Richard;Castellano;M
10012;Eli;Wallach;M
10013;Robert;Duvall;M
10014;Robert;De Niro;M
10015;Diane;Keaton;W
10016;Christian;Bale;M
10017;Heath;Ledger;M
10018;Aaron;Eckhart;M
10019;Michael;Caine;M
10020;Maggie;Gyllenhaal;W
10021;Martin;Balsam;M
10022;John;Fiedler;M
10023;Jack;Warden;M
10024;Henry;Fonda;M
10025;Liam;Neeson;M
10026;Ben;Kingsley;M
10027;Ralph;Fiennes;M
10028;Caroline;Goodall;W
10029;Orlando;Bloom;M
10030;Sean;Bean;M
10031;Sean;Astin;M
10032;Elijah;Wood;M
10033;Hugo;Weaving;M
10034;Ali;Astin;W
10035;Viggo;Mortensen;M
10036;John;Travolta;M
10037;Samuel L.;Jackson;M
10038;Bruce;Willis;M
10039;Uma;Thurman;W
10040;Rosanna;Arquette;W
10041;Clint;Eastwood;M
10042;Lee;Van Cleef;M
10043;Edward;Norton;M
10044;Brad;Pitt;M
10045;Zach;Grenier;M
10046;Meat;Loaf;M
10047;Tom;Hanks;M
10048;Robin;Wright;W
10049;Mykelti;Williamson;W


