rank;title;year;budget;worldwide gross
9;The Shawshank Redemption;1994;$25,000,000;$58,500,000
5;The Godfather;1972;$6,000,000;$245,066,411
NA;The Godfather: Part II;1974;$13,000,000;NA
2;The Dark Knight;2008;$185,000,000;$1,004,558,444
NA;12 Angry Men;1957;$350,000;NA
6;Schindler's List;1993;$22,000,000;$221,000,000 
1;The Lord of the Rings: The Return of the King;2003;$94,000,000; $1,119,929,521
7;Pulp Fiction;1994;$8,000,000;$213,928,762
NA;The Good, the Bad and the Ugly;1966;$1,200,000;NA
8;Fight Club;1999;$63,000,000;$71,000,000
3;The Lord of the Rings: The Fellowship of the Ring;2001;$93,000,000;$871,530,324
4;Forrest Gump;1994;$55,000,000;$677,945,399

