movie_id;rank;title;year;rating
10001;1;The Shawshank Redemption;1994;9.2
10002;2;The Godfather;1972;9.2
10003;3;The Godfather: Part II;1974;9.0
10004;4;The Dark Knight;2008;9.0
10005;5;12 Angry Men;1957;8.9
10006;6;Schindler's List;1993;8.9
10007;7;The Lord of the Rings: The Return of the King;2003;8.9
10008;8;Pulp Fiction;1994;8.9
10009;9;The Good, the Bad and the Ugly;1966;8.8
10010;10;Fight Club;1999;8.8
10011;11;The Lord of the Rings: The Fellowship of the Ring;2001;8.8
10012;12;Forrest Gump;1994;8.7

